順位,名前(ターゲット内表記),フルネーム(JRA-VANデータ内表記),読み(半角仮名/欧字),欧字表記名,所属,年齢,誕生日,免許取得年,キャリア,本年着度数,1着数,2着数,3着数,着外数,総数,勝率,連対率,複勝率,前年着度数,前年1着,前年2着,前年3着,前年着外,前年総数,前年勝率,前年連対率,前年複勝率,生涯着度数,生涯1着,生涯2着,生涯3着,生涯着外,生涯総数,生涯勝率,生涯連対率,生涯複勝率,コード,現役・抹消,チェック,勝数前年比,総レース数前年比,コメント,本年順位(平地),前年順位(平地)
950,城野慈尚,"城野 慈尚","ｼﾛﾉ ﾁｶﾅｵ","Chikanao Shirono",地方,20,2006. 1.17,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,05689,,0,,,,,
951,白谷正美,"白谷 正美","ｼﾗﾀﾆ ﾏｻﾐ","Masami Shiratani",地方,66,1959.12.15,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05153,,0,,,,,
952,白坂芳文,"白坂 芳文","ｼﾗｻｶ ﾖｼﾌﾐ",Y.Shirasaka,地方,66,1959.12. 5,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,00852,,0,,,,,
953,下原理　,"下原 理","ｼﾓﾊﾗ ｵｻﾑ","Osamu Shimohara",地方,48,1977. 9. 3,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  2-  9-  9-160(180)",2,9,9,160,180,1.1,6.1,11.1,05328,,0,,,,,
954,下條知之,"下條 知之","ｼﾓｼﾞﾖｳ ﾄﾓﾕｷ","Tomoyuki Shimojo",地方,46,1979. 9.28,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0- 11( 11)",0,0,0,11,11,0.0,0.0,0.0,05167,,0,,,,,
955,島崎和也,"島崎 和也","ｼﾏｻﾞｷ ｶｽﾞﾅﾘ","Kazunari Shimazaki",地方,40,1985. 9.13,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05508,,0,,,,,
956,渋谷裕喜,"渋谷 裕喜","ｼﾌﾞﾔ ﾋﾛｷ","Hiroki Shibuya",地方,54,1971. 7. 7,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  3-  4- 37( 44)",0,3,4,37,44,0.0,6.8,15.9,05059,,0,,,,,
957,柴田直樹,"柴田 直樹","ｼﾊﾞﾀ ﾅｵｷ","Naoki Shibata",地方,48,1977. 3.26,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05160,,0,,,,,
958,篠谷葵　,"篠谷 葵","ｼﾉﾔ ｱｵｲ","Aoi Shinoya",地方,23,2002. 5.29,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05605,,0,,,,,
959,繁田健一,"繁田 健一","ｼｹﾞﾀ ｹﾝｲﾁ","Kenichi Shigeta",地方,45,1981. 1.11,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  2-  1-  3- 32( 38)",2,1,3,32,38,5.3,7.9,15.8,05269,,0,,,,,
960,塩津璃菜,"塩津 璃菜","ｼｵﾂ ﾘﾅ","Rina Shiotsu",地方,21,2005. 2.17,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  0-  0-  1(  2)",1,0,0,1,2,50.0,50.0,50.0,"  1-  0-  0-  1(  2)",1,0,0,1,2,50.0,50.0,50.0,05669,,0,,,,,130
961,山林堂信,"山林堂 信彦","ｻﾝﾘﾝﾄﾞｳ ﾉﾌﾞﾋｺ","Nobuhiko Sanrindo",地方,47,1978. 8.10,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  4(  4)",0,0,0,4,4,0.0,0.0,0.0,"  0-  0-  0-  4(  4)",0,0,0,4,4,0.0,0.0,0.0,05673,,0,,,,,174
962,三野宮通,"三野宮 通","ｻﾝﾉﾐﾔ ﾄｵﾙ","Toru Sannomiya",地方,66,1960. 1. 5,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05156,,0,,,,,
963,三小田幸,"三小田 幸人","ｻﾝｺﾀﾞ ﾕｷﾄ",Y.Sankoda,地方,64,1962. 2.18,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,00862,,0,,,,,
964,沢田龍哉,"沢田 龍哉","ｻﾜﾀﾞ ﾘｮｳﾔ","Ryoya Sawada",地方,34,1991. 3. 9,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,05452,,0,,,,,
965,沢田盛夫,"沢田 盛夫利","ｻﾜﾀﾞ ｻｵﾘ","Saori Sawada",地方,55,1971. 1.16,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0- 18( 18)",0,0,0,18,18,0.0,0.0,0.0,00411,,0,,,,,
966,鮫島克也,"鮫島 克也","ｻﾒｼﾏ ｶﾂﾔ","Katsuya Sameshima",地方,63,1963. 1.30,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 30- 35- 28-484(577)",30,35,28,484,577,5.2,11.3,16.1,00409,,0,,,,,
967,佐原秀泰,"佐原 秀泰","ｻﾊﾗ ﾋﾃﾞﾔ","Hideya Sahara",地方,46,1979. 7.15,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05572,,0,,,,,
968,佐野遥久,"佐野 遥久","ｻﾉ ﾊﾙｸ","Haruku Sano",地方,19,2006.12. 7,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  1-  0-  1(  2)",0,1,0,1,2,0.0,50.0,50.0,"  0-  1-  0-  1(  2)",0,1,0,1,2,0.0,50.0,50.0,05683,,0,,,,,136
969,佐藤裕太,"佐藤 裕太","ｻﾄｳ ﾕｳﾀ","Yuta Sato",地方,50,1975. 7. 6,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,05500,,0,,,,,
970,佐藤祐樹,"佐藤 祐樹","ｻﾄｳ ﾕｳｷ","Yuki Sato",地方,58,1968. 2. 1,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  0-  0-  9( 10)",1,0,0,9,10,10.0,10.0,10.0,05124,,0,,,,,
971,佐藤雅彦,"佐藤 雅彦","ｻﾄｳ ﾏｻﾋｺ","Masahiko Sato",地方,65,1961. 1. 9,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  6(  6)",0,0,0,6,6,0.0,0.0,0.0,05060,,0,,,,,
972,佐藤博紀,"佐藤 博紀","ｻﾄｳ ﾋﾛﾉﾘ","Hironori Sato",地方,46,1979. 6.18,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  5(  5)",0,0,0,5,5,0.0,0.0,0.0,05281,,0,,,,,
973,佐藤友則,"佐藤 友則","ｻﾄｳ ﾄﾓﾉﾘ","Tomonori Sato",地方,43,1982. 3.23,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 10- 13- 13-489(525)",10,13,13,489,525,1.9,4.4,6.9,05268,,0,,,,,
974,佐藤隆　,"佐藤 隆","ｻﾄｳ ﾀｶｼ","Takashi Sato",地方,68,1957. 6. 9,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  1-  0-  9( 10)",0,1,0,9,10,0.0,10.0,10.0,00441,,0,,,,,
975,佐藤庄一,"佐藤 庄一郎","ｻﾄｳ ｼﾖｳｲﾁﾛｳ","Shoichiro Sato",地方,70,1956. 2.12,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05198,,0,,,,,
976,佐宗応和,"佐宗 応和","ｻｿｳ ﾀｶｶｽﾞ","Takakazu Saso",地方,57,1969. 1.24,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  4(  4)",0,0,0,4,4,0.0,0.0,0.0,05165,,0,,,,,
977,笹田知宏,"笹田 知宏","ｻｻﾀﾞ ﾄﾓﾋﾛ","Tomohiro Sasada",地方,39,1986. 4. 4,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,05646,,0,,,,,
978,笹木美典,"笹木 美典","ｻｻｷ ﾐﾉﾘ","Minori Sasaki",地方,43,1982. 5. 5,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05388,,0,,,,,
979,佐々木忠,"佐々木 忠昭","ｻｻｷ ﾀﾀﾞｱｷ",T.Sasaki,地方,70,1955.12.23,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1-  0(  1)",0,0,1,0,1,0.0,0.0,100.0,00986,,0,,,,,
980,佐々木竹,"佐々木 竹見","ｻｻｷ ﾀｹﾐ","Takemi Sasaki",地方,84,1941.11. 3,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  2-  0-  1- 17( 20)",2,0,1,17,20,10.0,10.0,15.0,00801,,0,,,,,
981,佐々木世,"佐々木 世麗","ｻｻｷ ｾﾚｲ","Serei Sasaki",地方,23,2003. 2. 7,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,05616,,0,,,,,
982,佐々木国,"佐々木 国明","ｻｻｷ ｸﾆｱｷ","Kuniaki Sasaki",地方,47,1978. 3.22,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  2-  3-  3-105(113)",2,3,3,105,113,1.8,4.4,7.1,05073,,0,,,,,
983,佐々木清,"佐々木 清明","ｻｻｷ ｷﾖｱｷ",K.Sasaki,地方,64,1961. 4. 3,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,00851,,0,,,,,
984,佐々木一,"佐々木 一夫","ｻｻｷ ｶｽﾞｵ",K.Sasaki,地方,75,1950. 9.28,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,00964,,0,,,,,
985,佐々木泉,"佐々木 泉","ｻｻｷ ｲｽﾞﾐ","Izumi Sasaki",地方,62,1963. 8.11,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,05209,,0,,,,,
986,佐々木明,"佐々木 明美","ｻｻｷ ｱｹﾐ","Akemi Sasaki",地方,50,1975. 6.12,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  1-  0- 17( 18)",0,1,0,17,18,0.0,5.6,5.6,05069,,0,,,,,
987,笹川翼　,"笹川 翼","ｻｻｶﾞﾜ ﾂﾊﾞｻ","Tsubasa Sasagawa",地方,31,1994. 7.17,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1-  7(  8)",0,0,1,7,8,0.0,0.0,12.5,"  3-  3-  3- 73( 82)",3,3,3,73,82,3.7,7.3,11.0,05524,,0,,,,,141
988,桜井拓章,"桜井 拓章","ｻｸﾗｲ ﾋﾛｱｷ","Hiroaki Sakurai",地方,53,1973. 2.17,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  3-  5- 43( 52)",1,3,5,43,52,1.9,7.7,17.3,05092,,0,,,,,
989,桜井光輔,"桜井 光輔","ｻｸﾗｲ ｺｳｽｹ","Kosuke Sakurai",地方,26,1999. 4.26,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  5(  5)",0,0,0,5,5,0.0,0.0,0.0,05563,,0,,,,,
990,桜井今朝,"桜井 今朝利","ｻｸﾗｲ ｹｻﾄｼ",K.Sakurai,地方,61,1964. 4.22,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,00415,,0,,,,,
991,佐川久芳,"佐川 久芳","ｻｶﾞﾜ ﾋｻﾖｼ","Hisayoshi Sagawa",地方,65,1961. 2.14,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05216,,0,,,,,
992,坂本敏美,"坂本 敏美","ｻｶﾓﾄ ﾄｼﾐ",T.Sakamoto,地方,74,1952. 1. 8,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  1-  0-  3(  4)",0,1,0,3,4,0.0,25.0,25.0,00908,,0,,,,,
993,坂本和也,"坂本 和也","ｻｶﾓﾄ ｶｽﾞﾔ","Kazuya Sakamoto",地方,52,1973.10.18,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  4(  4)",0,0,0,4,4,0.0,0.0,0.0,05482,,0,,,,,
994,坂下秀樹,"坂下 秀樹","ｻｶｼﾀ ﾋﾃﾞｷ","Hideki Sakashita",地方,57,1969. 1.31,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  2-  6-  7-105(120)",2,6,7,105,120,1.7,6.7,12.5,05054,,0,,,,,
995,坂口義幸,"坂口 義幸","ｻｶｸﾞﾁ ﾖｼﾕｷ","Yoshiyuki Sakaguchi",地方,63,1962.10. 1,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  4(  4)",0,0,0,4,4,0.0,0.0,0.0,05134,,0,,,,,
996,坂口重政,"坂口 重政","ｻｶｸﾞﾁ ｼｹﾞﾏｻ","Shigemasa Sakaguchi",地方,65,1960. 9.20,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1-  6(  7)",0,0,1,6,7,0.0,0.0,14.3,05043,,0,,,,,
997,阪上忠匡,"阪上 忠匡","ｻｶｳｴ ﾀﾀﾞﾏｻ","Tadamasa Sakaue",地方,42,1983.12.15,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  4(  4)",0,0,0,4,4,0.0,0.0,0.0,05421,,0,,,,,
998,坂井英光,"坂井 英光","ｻｶｲ ﾋﾃﾞﾐﾂ","Hidemitsu Sakai",地方,50,1975. 4.11,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  8- 10-  9-180(207)",8,10,9,180,207,3.9,8.7,13.0,05396,,0,,,,,
999,左海誠二,"左海 誠二","ｻｶｲ ｾｲｼﾞ","Seiji Sakai",地方,50,1975. 5. 4,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  9-  9- 16-353(387)",9,9,16,353,387,2.3,4.7,8.8,05199,,0,,,,,
1000,酒井忍　,"酒井 忍","ｻｶｲ ｼﾉﾌﾞ","Sinobu Sakai",地方,53,1973. 1. 8,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1- 47( 48)",0,0,1,47,48,0.0,0.0,2.1,05000,,0,,,,,
1001,坂井薫人,"坂井 薫人","ｻｶｲ ｼｹﾞﾄ","Shigeto Sakai",地方,49,1977. 3. 2,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0- 21( 21)",0,0,0,21,21,0.0,0.0,0.0,05105,,0,,,,,
1002,酒井作男,"酒井 作男","ｻｶｲ ｻｸｵ","Sakuo Sakai",地方,65,1960. 7.17,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05186,,0,,,,,
1003,坂井瑛音,"坂井 瑛音","ｻｶｲ ｴｲﾄ","Eito Sakai",地方,19,2006. 9.15,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,05687,,0,,,,,
1004,酒井章　,"酒井 章","ｻｶｲ ｱｷﾗ","Akira Sakai",地方,69,1956. 5. 8,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05179,,0,,,,,
1005,斎藤雄一,"斎藤 雄一","ｻｲﾄｳ ﾕｳｲﾁ","Yuichi Saito",地方,41,1984. 9.15,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,05480,,0,,,,,
1006,斉藤正弘,"斉藤 正弘","ｻｲﾄｳ ﾏｻﾋﾛ","Masahiro Saito",地方,54,1972. 2. 3,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 12- 12- 17-280(321)",12,12,17,280,321,3.7,7.5,12.8,05094,,0,,,,,
1007,斉藤誠　,"斉藤 誠","ｻｲﾄｳ ﾏｺﾄ","Makoto Saito",地方,64,1962. 3. 7,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  2-  1-  2- 31( 36)",2,1,2,31,36,5.6,8.3,13.9,05100,,0,,,,,
1008,雑賀秀介,"雑賀 秀介","ｻｲｶ ﾋﾃﾞﾕｷ",H.Saika,地方,68,1958. 3. 5,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,00912,,0,,,,,
1009,今野忠成,"今野 忠成","ｺﾝﾉ ﾀﾀﾞﾅﾘ","Tadanari Konno",地方,49,1977. 3. 4,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 12- 11-  6-185(214)",12,11,6,185,214,5.6,10.7,13.6,05230,,0,,,,,
1010,権藤学　,"権藤 学","ｺﾞﾝﾄﾞｳ ﾏﾅﾌﾞ","Manabu Gondo",地方,52,1973.10.11,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,05255,,0,,,,,
1011,小松丈二,"小松 丈二","ｺﾏﾂ ｼﾞｮｳｼﾞ","Joji Komatsu",地方,41,1984.11.24,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05587,,0,,,,,
1012,小牧毅　,"小牧 毅","ｺﾏｷ ﾂﾖｼ","Tsuyoshi Komaki",地方,54,1971. 4.13,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  2- 27( 29)",0,0,2,27,29,0.0,0.0,6.9,05317,,0,,,,,
1013,小林凌　,"小林 凌","ｺﾊﾞﾔｼ ﾘｮｳ","Ryo Kobayashi",地方,29,1996.10. 2,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,05560,,0,,,,,
1014,小林靖幸,"小林 靖幸","ｺﾊﾞﾔｼ ﾔｽﾕｷ","Yasuyuki Kobayashi",地方,46,1979. 6. 7,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05351,,0,,,,,
1015,小林俊彦,"小林 俊彦","ｺﾊﾞﾔｼ ﾄｼﾋｺ","Toshihiko Kobayashi",地方,60,1965. 3.26,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  5-  2-  3- 55( 65)",5,2,3,55,65,7.7,10.8,15.4,05023,,0,,,,,
1016,小林真治,"小林 真治","ｺﾊﾞﾔｼ ｼﾝｼﾞ","Shinji Kobayashi",地方,66,1960. 3. 6,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,05227,,0,,,,,
1017,後藤孝鎮,"後藤 孝鎮","ｺﾞﾄｳ ﾕｷﾔｽ","Yukiyasu Goto",地方,44,1981.10.28,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05360,,0,,,,,
1018,小田部雪,"小田部 雪","ｺﾀﾍﾞ ﾕｷ","Yuki Kotabe",地方,49,1976. 6. 4,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05211,,0,,,,,
1019,小谷周平,"小谷 周平","ｺﾀﾆ ｼｭｳﾍｲ","Shuhei Kotani",地方,40,1986. 2. 8,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05628,,0,,,,,
1020,小竹清一,"小竹 清一","ｺﾀｹ ｾｲｲﾁ",S.Kotake,地方,68,1957. 8.22,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,00873,,0,,,,,
1021,小瀬良昌,"小瀬 良昌","ｺｾﾞ ﾖｼｱｷ","Yoshiaki Koze",地方,68,1957. 3.28,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,05159,,0,,,,,
1022,古性秀之,"古性 秀之","ｺｼｮｳ ﾋﾃﾞﾕｷ","Hideyuki Kosyo",地方,64,1961. 9.14,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05037,,0,,,,,
1023,小嶋久輝,"小嶋 久輝","ｺｼﾞﾏ ﾋｻｷ","Hisaki Kojima",地方,57,1969. 3. 2,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  2-  1-  2- 17( 22)",2,1,2,17,22,9.1,13.6,22.7,05104,,0,,,,,
1024,児島真二,"児島 真二","ｺｼﾞﾏ ｼﾝｼﾞ","Shinji Kojima",地方,63,1962. 8.22,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0- 25( 25)",0,0,0,25,25,0.0,0.0,0.0,00418,,0,,,,,
1025,小嶋耕輝,"小嶋 耕輝","ｺｼﾞﾏ ｺｳｷ","Koki Kojima",地方,50,1975.10.15,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  8(  8)",0,0,0,8,8,0.0,0.0,0.0,05107,,0,,,,,
1026,小佐井盛,"小佐井 盛行","ｺｻｲ ﾓﾘﾕｷ",M.Kosai,地方,64,1961.10.27,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,00860,,0,,,,,
